cds,lea,county,i_exp,i_all,ii_exp,ii_all,iii_exp,iii_all,iii_plan_link
19646830000000,Las Virgenes Unified,Los Angeles,542323,542323,2147655,2147655,4827803,4827803,https://resources.finalsite.net/images/v1676194821/lvusdorg/tdhufg1d0rav1s6afruv/filedownloadashx_18.pdf
19646910000000,Lawndale Elementary,Los Angeles,1340434,1340434,5308253,5308253,9176929,11932641,https://resources.finalsite.net/images/v1698332046/lawndalek12caus/did3e2smmxhzcnsnut93/ESSERIIIExpenditurePlan.pdf
19646911996438,Environmental Charter High - Lawndale,Los Angeles,151141,151141,598535,598535,1345470,1345470,https://ecsonline.org/wp-content/uploads/2021/11/ECS-ESSER-III-Expenditure-Plans-Revised-December-2021.pdf
19647090000000,Lennox,Los Angeles,1730985,1730985,6504081,6504081,8479193,14620791,https://4.files.edl.io/ac49/01/11/22/043757-8ae40bbe-79ba-4e99-bbbe-3c85b07fb125.pdf
19647090107508,Century Community Charter,Los Angeles,143558,143558,568506,568506,977967,1277967,https://centurycommunitycharter.weebly.com/uploads/8/6/5/2/8652969/cccs_-_esseriiiexpenditureplan_january_2022_update[63].pdf
19647090112250,Century Academy for Excellence,Los Angeles,NaN,NaN,NaN,NaN,NaN,NaN,
19647091996313,Animo Leadership High,Los Angeles,229754,229754,909849,909849,1320875,2045286,
19647170000000,Little Lake City Elementary,Los Angeles,477109,477109,1889400,1889400,3460126,4247261,https://web.archive.org/web/20220608184019/https://www.llcsd.net/apps/pages/index.jsp?uREC_ID=1027068&type=d&pREC_ID=2255833
19647250000000,Long Beach Unified,Los Angeles,23868680,23868680,94522394,94522394,146863843,212480778,https://web.archive.org/web/20230410033145/https://www.lbschools.net/Departments/Local_Control/
19647250127506,Intellectual Virtues Academy of Long Beach,Los Angeles,18637,18637,76237,76237,121376,171376,https://drive.google.com/file/d/1xJm5di1gHKva_PbB7hJBEfXLiX2ZSMB2/view
19647250131938,Clear Passage Educational Center,Los Angeles,14777,14777,5321,5321,11960,11960,http://www.cpecschool.org/?p=1017
19647330000000,Los Angeles Unified,Los Angeles,289701970,289701970,1147249170,1147249170,2513019055,2578948615,https://www.lausd.org/cms/lib/CA01000043/Centricity/Domain/33/LAUSD%20ESSER%20III%20Expenditure%20Plan%2006232022.pdf
19647330100289,N.E.W. Academy of Science and Arts,Los Angeles,148191,148191,605635,605635,1361431,1361431,https://dwscbcy9jc8hm.cloudfront.net/sites/239/comfy/cms/files/76210/files/original/ESSER_III_Expenditure_Plan_NASA.pdf
19647330100669,Stella Middle Charter Academy,Los Angeles,185823,185823,735880,735880,1243205,1654215,https://brightstarschools.org/files/galleries/ESSER_III_Expenditure_Plan_SMCA.pdf
19647330100677,High Tech LA,Los Angeles,58974,58974,212861,212861,478500,478500,https://4.files.edl.io/27c5/11/02/21/213942-4107c3fb-a5f3-480c-92ce-5b856a11d7a6.pdf
19647330100743,Accelerated Charter Elementary,Los Angeles,184154,184154,729267,729267,1362276,1639350,https://www.accelerated.org/wp-content/uploads/2021/10/Esser-III-Expenditure-Plan-ACES.pdf
19647330100750,Wallis Annenberg High,Los Angeles,180327,180327,714112,714112,1047048,1605282,https://www.accelerated.org/wp-content/uploads/2021/10/Esser-III-Expenditure-Plan-WAHS-1.pdf
19647330100800,Central City Value,Los Angeles,161514,161514,639614,639614,1187814,1437814,https://4.files.edl.io/60a2/04/13/22/144706-74b1313e-b314-4e34-90d1-d8557d17b344.pdf
19647330100867,KIPP Los Angeles College Preparatory,Los Angeles,179029,179029,708974,708974,1593732,1593732,https://campussuite-storage.s3.amazonaws.com/prod/735103/5e2e7db8-b8d5-11e6-bf0d-22000bd8490f/2320887/bee0d862-1fd6-11ec-bcef-0e89542fda31/file/KLAP_2021_ESSER_III_Expenditure_Plan_Preparatory_20210914.pdf
